"id","application","benchmark","file","line","function","version"
"50b8bfaf-8ba7-493e-a226-8d2ec67d0078","UA-SNU","NPB","precond.c","327","setpcmo_pre","2.3-OpenACC-C"
"899897aa-70d3-40f0-9784-9dcbfc104736","183.equake","spec2000","quake.c","292","main","v1.3"
"50b8bfaf-8ba7-493e-a226-8d2ec67d0078","UA-SNU","NPB","mason.c","1705","mor_s_e","2.3-OpenACC-C"
"45f798f8-0155-4c1a-a729-392483621301","445.gobmk","spec2006","move_reasons.c","341","add_lunch","v1.1"
"2b575b90-58f1-46a3-a7c6-5fe19f136533","darknet","machinelearning","convolutional_layer.c","396","add_bias","default"
"38e86c6a-9233-47b1-adb2-4eba948b06af","458.sjeng","spec2006","utils.c","1162","seedMT","v1.1"
"c0c75422-f85a-42c7-b178-a9c06e29a5b1","DC","NPB","jobcntl.c","309","GetRegTupleFromBin64","2.3-OpenACC-C"
"f22d52b9-f79e-4747-b37c-4eed87681ccc","libdeep","libraries","deeplearndata.c","538","deeplearndata_read_csv","default"
"301d9585-272e-4ae4-b0df-f34f93841fae","silk","libraries","SKP_Silk_NSQ.c","397","SKP_Silk_nsq_scale_states","default"
"74df51a8-f031-493e-8814-af9fb2bb2cf7","daala","libraries","generic_code.c","144","generic_model_update","default"
"daccab2c-ec58-41c9-beea-f15be508436a","pifft","FreeBench","pifft.c","558","mp_unexp_sub","default"
"6b0d5ead-2879-4fcb-88aa-41cacefa55bd","CG","NPB","cg.c","373","conj_grad","2.3-OpenACC-C"
"74df51a8-f031-493e-8814-af9fb2bb2cf7","daala","libraries","dct.c","8553","check_bias","default"
"dad59000-ff7b-4eeb-8a88-9f07fb1e55b0","Branch","Kernels","func.c","13798","func8","SERIAL"
"5d5689b3-cca7-48f1-93ae-d582b66c1cbb","400.perlbench","spec2006","Opcode.c","659","XS_Opcode_opmask","v1.1"
"a80d64d6-a725-458a-95bf-7bf94361b0ea","default","TSVC","tsc.c","3225","s291","default"
"be99b666-ff82-429e-b4c7-dd647519a928","cg","netlib","cg_rc_prb.c","226","test01","default"
"26a39633-5b80-4207-a8ce-f1057a313a5b","SP","NPB","sp.c","1085","lhsz","2.3-OpenACC-C"
"f58183b8-3f35-419d-807e-83e8661d3dd3","gap","GitApps","string.c","1231","IsSSortString","default"
"50b8bfaf-8ba7-493e-a226-8d2ec67d0078","UA-SNU","NPB","adapt.c","708","find_coarsen","2.3-OpenACC-C"
"45b5111a-30d1-414a-ac0a-5c58f1d51f37","MPGenc","ALPBench","predict.c","511","pred_comp","v1.0"
"c3f1334a-f0c9-44bc-a75e-4c9b5ebad27b","livermore","livermore","lloops.c","1559","endloop","default"
"b38996ea-1dfb-4960-8f81-eb559af5d62f","medley-nussinov","polybench","nussinov.c","86","kernel_nussinov","4.1"
"30d681f7-f3ac-4484-8cb1-d0a88edb4d0c","h264enc-lencod","mediabench","transform8x8.c","1545","dct_luma8x8","default"
"bd7671d0-b645-4493-8b8d-f8dbe71b46f2","default","opencv_kernels","thresh.c","385","getThreshVal_Triangle_uchar","default"
"26a39633-5b80-4207-a8ce-f1057a313a5b","SP","NPB","sp.c","1452","compute_rhs","2.3-OpenACC-C"
"071e0363-89a9-4aac-9f74-05b0f47c1098","mpeg2enc","mediabench","predict.c","444","pred_comp","default"
"1e5201b1-b9b4-442e-960e-94b11bbc01bc","mpeg4enc","mediabench","mpegaudio.c","488","psycho_acoustic_model","default"
