alg,run,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_CA_SHR,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,PAPI_HW_INT,PAPI_BR_CN,PAPI_BR_TKN,PAPI_BR_NTK,PAPI_BR_MSP,PAPI_BR_PRC,PAPI_TOT_IIS,PAPI_TOT_INS,PAPI_FP_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,PAPI_VEC_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_L1_DCH,PAPI_L1_DCA,PAPI_L2_DCA,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L1_ICH,PAPI_L2_ICH,PAPI_L1_ICA,PAPI_L2_ICA,PAPI_L2_TCH,PAPI_L1_TCA,PAPI_L2_TCA,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_FML_INS,PAPI_FDV_INS,PAPI_FP_OPS,PAPI_SP_OPS,PAPI_DP_OPS,PAPI_VEC_SP,PAPI_VEC_DP,PAPI_REF_CYC,time
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_270,,296,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-296,0,0,0,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248000,3008
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_1336,-D PARAM_N=100000,3387,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3387,0,0,0,0,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.729000,3200
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_1336,-D PARAM_N=200000,6519,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6519,0,0,0,0,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.186000,3396
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_1336,-D PARAM_N=300000,9683,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9683,0,0,0,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.677000,3596
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_1336,-D PARAM_N=400000,12799,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12799,0,0,0,0,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.240000,3788
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_1336,-D PARAM_N=500000,16001,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16001,0,0,0,0,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.050000,3988
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_1336,-D PARAM_N=600000,19099,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19099,0,0,0,0,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.443000,4176
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_1336,-D PARAM_N=700000,17470,31,7339,0,0,7339,0,0,0,0,0,0,0,7339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17470,0,0,0,0,-31,0,0,0,-7339,0,0,0,0,0,0,0,0,0,0,0,0,11.319000,4372
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_1336,-D PARAM_N=800000,1730,41,11264,0,0,11264,0,0,0,0,0,0,0,11264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1730,0,0,0,0,-41,0,0,0,-11264,0,0,0,0,0,0,0,0,0,0,0,0,12.901000,4568
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_1336,-D PARAM_N=900000,9272,31,15151,0,0,15151,0,0,0,0,0,0,0,15151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9272,0,0,0,0,-31,0,0,0,-15151,0,0,0,0,0,0,0,0,0,0,0,0,14.586000,4764
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_1336,-D PARAM_N=1000000,9769,34,13638,0,0,13638,0,0,0,0,0,0,0,13638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9769,0,0,0,0,-34,0,0,0,-13638,0,0,0,0,0,0,0,0,0,0,0,0,15.145000,4960
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_521,,293,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-293,0,0,0,0,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272000,3008
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_552,-D PARAM_N=50000,1903,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1903,0,0,0,0,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.711000,3108
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_552,-D PARAM_N=100000,3450,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3450,0,0,0,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.253000,3200
