alg,run,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_CA_SHR,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,PAPI_HW_INT,PAPI_BR_CN,PAPI_BR_TKN,PAPI_BR_NTK,PAPI_BR_MSP,PAPI_BR_PRC,PAPI_TOT_IIS,PAPI_TOT_INS,PAPI_FP_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,PAPI_VEC_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_L1_DCH,PAPI_L1_DCA,PAPI_L2_DCA,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L1_ICH,PAPI_L2_ICH,PAPI_L1_ICA,PAPI_L2_ICA,PAPI_L2_TCH,PAPI_L1_TCA,PAPI_L2_TCA,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_FML_INS,PAPI_FDV_INS,PAPI_FP_OPS,PAPI_SP_OPS,PAPI_DP_OPS,PAPI_VEC_SP,PAPI_VEC_DP,PAPI_REF_CYC,time
heat-3d,4,112043741,15256,44973934,3735,112111698,44977669,21672,911145,0,964323,3256,290883972,27756830,17182568,27795101,1848,222524636,221453629,2991218,3016143,219509618,47545429702,47210352186,5612685139,12944352507,437303109,225657611,0,6291218229,18384437995,13559978522,13672022263,318640802,290883972,27756830,18321046991,29544,18321062247,33279,273350505,31993084510,318328174,290917251,27756830,3027818442,0,5612685139,5612685139,5612685139,0,0,18368437421,5569.377000
heat-3d,5,183724486,18457,90025732,5517,183724323,90031249,23991,1859666,0,1557980,3990,480977145,45513743,44500750,45530499,2365,365115887,363707956,4381051,4380873,360734866,78350299243,77770373639,9243450900,21312992832,719029343,369998156,0,10415348821,30308119576,22386792511,22570516997,526490888,480977145,45513743,30228668027,34577,30228686484,40094,437495827,52799203481,527527076,481017239,45513743,4986508621,0,9243450900,9243450900,9243450900,0,0,30305685034,9170.237000
heat-3d,6,284058101,27567,144136194,8617,284667744,144144811,38999,2743805,0,2441754,6365,750497799,70503069,73587330,70557481,4051,566336918,564135373,6130681,6174860,560166106,121561071813,120795303372,14357786886,33106717534,1115131119,572247735,0,16316870097,47241267518,34686640798,34970698899,821000868,750497799,70503069,47127241697,52916,47127269264,61533,676361851,82097968163,820506662,750559332,70503069,7749914221,0,14357786886,14357786886,14357786886,0,0,47221198246,14288.463000
heat-3d,7,422508760,29156,214811011,9683,422674143,214820694,43512,3684379,0,3614638,7825,1126297606,104909226,109874445,104946249,4824,840758535,838828989,8305159,8307968,832449797,135880950137,134838764620,30501667804,49368515942,1661092097,848880418,0,21960212754,57150141928,51672940439,52095449199,1231206832,1126297606,104909226,57021152200,56019,57021181356,65702,1017240729,109116630555,1232061423,1126363308,104909226,20635642491,0,30501667804,30501667804,30501667804,0,0,57144349713,17301.353000
heat-3d,8,604952088,42073,307190454,12205,604925869,307202659,71453,5326520,0,5233816,11238,1606377508,150078752,157040290,150162369,7187,1202484046,1200580440,10909767,10946629,1191537597,194654228935,193191443533,43695596363,70752587578,2379300896,1214220442,0,31558292159,81996566351,73982714927,74587667015,1756456260,1606377508,150078752,81672772475,76841,81672814548,89046,1441235122,156260481563,1748437781,1606466554,150078752,29582891627,0,43695596363,43695596363,43695596363,0,0,81974965429,24817.526000
heat-3d,9,840863607,63590,425986229,17061,841546888,426003290,82121,6946121,0,7306445,14393,2275067803,208846296,217048436,208954854,9361,1677462580,1670790074,14040667,14042221,1663424299,325803667887,323707880396,42794569447,98640965031,3313195802,1691559247,0,38774004682,121969751416,103251852591,104092716198,2483914099,2275067803,208846296,121606377759,112476,121606441349,129537,2058371718,225699157547,2484375008,2275197340,208846296,23084282850,0,42794569447,42794569447,42794569447,0,0,121942372875,36871.900000
gemver,0,211962,37,818,0,0,818,0,0,0,0,0,0,0,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-211962,0,0,0,0,-37,0,0,0,-818,0,0,0,0,0,0,0,0,0,0,0,0,5.818000
gemver,1,197617,48,4539,0,0,4539,0,0,0,0,0,0,0,4539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-197617,0,0,0,0,-48,0,0,0,-4539,0,0,0,0,0,0,0,0,0,0,0,0,12.382000
gemver,2,65412,20,41740,42,304253,41782,0,0,0,0,0,0,0,41782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65412,0,0,0,0,-20,-42,0,0,-41782,0,0,0,0,0,0,0,0,0,0,0,0,21.958000
gemver,3,606,20,245932,0,2483289,245932,11,18,0,0,0,0,0,245932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-606,0,0,0,0,-20,0,0,0,-245932,0,0,0,0,0,0,0,0,0,0,0,0,34.089000
