alg,run,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_CA_SHR,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,PAPI_HW_INT,PAPI_BR_CN,PAPI_BR_TKN,PAPI_BR_NTK,PAPI_BR_MSP,PAPI_BR_PRC,PAPI_TOT_IIS,PAPI_TOT_INS,PAPI_FP_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,PAPI_VEC_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_L1_DCH,PAPI_L1_DCA,PAPI_L2_DCA,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L1_ICH,PAPI_L2_ICH,PAPI_L1_ICA,PAPI_L2_ICA,PAPI_L2_TCH,PAPI_L1_TCA,PAPI_L2_TCA,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_FML_INS,PAPI_FDV_INS,PAPI_FP_OPS,PAPI_SP_OPS,PAPI_DP_OPS,PAPI_VEC_SP,PAPI_VEC_DP,PAPI_REF_CYC,time
lore_b77567b6-f4ed-4d05-8722-c327669d193c,-D PARAM_M=1000000,77610,29,119371,0,0,119371,0,0,0,0,0,0,0,119371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77610,0,0,0,0,-29,0,0,0,-119371,0,0,0,0,0,0,0,0,0,0,0,0,22.819000
lore_b77567b6-f4ed-4d05-8722-c327669d193c,-D PARAM_M=2000000,88143,46,250466,84,0,250550,0,0,0,0,0,0,0,250550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88143,0,0,0,0,-46,-84,0,0,-250550,0,0,0,0,0,0,0,0,0,0,0,0,40.395000
lore_b77567b6-f4ed-4d05-8722-c327669d193c,-D PARAM_M=3000000,40676,9,378737,5,378475,378742,69,0,0,0,0,0,0,378742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40676,0,0,0,0,-9,-5,0,0,-378742,0,0,0,0,0,0,0,0,0,0,0,0,60.980000
lore_b77567b6-f4ed-4d05-8722-c327669d193c,-D PARAM_M=4000000,28754,49,514835,7,505922,514842,36,16698,0,0,0,0,0,514842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28754,0,0,0,0,-49,-7,0,0,-514842,0,0,0,0,0,0,0,0,0,0,0,0,81.631000
lore_b77567b6-f4ed-4d05-8722-c327669d193c,-D PARAM_M=5000000,80281,13,634895,9,630096,634904,31,19904,0,0,0,0,0,634904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80281,0,0,0,0,-13,-9,0,0,-634904,0,0,0,0,0,0,0,0,0,0,0,0,100.789000
lore_b77567b6-f4ed-4d05-8722-c327669d193c,-D PARAM_M=6000000,27825,13,758432,11,763249,758443,30,25340,0,12412,500,0,0,758443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27825,0,0,0,0,-13,-11,0,0,-758443,0,0,0,0,0,0,0,0,0,0,0,0,121.135000
lore_b77567b6-f4ed-4d05-8722-c327669d193c,-D PARAM_M=7000000,62899,20,916538,6,904781,916544,41,28808,0,14365,303,0,0,916544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-62899,0,0,0,0,-20,-6,0,0,-916544,0,0,0,0,0,0,0,0,0,0,0,0,140.861000
lore_b77567b6-f4ed-4d05-8722-c327669d193c,-D PARAM_M=8000000,42950,43,1064683,21,1060663,1064704,66,35948,0,16111,25,1432965,978401,93610,971094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42950,0,2411366,1432965,978401,-43,-21,0,0,-1064704,0,0,1432965,978401,0,0,0,0,0,0,0,0,162.930000
lore_b77567b6-f4ed-4d05-8722-c327669d193c,-D PARAM_M=9000000,10551,14,1148818,11,1136318,1148829,82,40368,0,17898,58,1559217,1138977,18482,1130347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10551,0,2698194,1559217,1138977,-14,-11,0,0,-1148829,0,0,1559217,1138977,0,0,0,0,0,0,0,0,180.823000
lore_b77567b6-f4ed-4d05-8722-c327669d193c,-D PARAM_M=10000000,73654,14,1266292,25,1254708,1266317,25,44804,0,20109,12,1718509,1264753,45973,1220344,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73654,0,2983262,1718509,1264753,-14,-25,0,0,-1266317,0,0,1718509,1264753,0,0,0,0,0,0,0,0,202.006000
