PAPI_L1_DCM,PAPI_L1_ICM,PAPI_TOT_INS,PAPI_REF_CYC,time
35,30,60376,91470,0.026000
33,23,135376,231220,0.068000
31,24,240376,406430,0.122000
40,24,375376,616730,0.185000
35,27,540376,710250,0.212000
32,25,735376,1345140,0.403000
57,33,960377,1568120,0.482000
30,23,1215376,1761420,0.529000
32,25,1500376,2173090,0.653000
34,25,1815376,3031380,0.911000
32,24,2160376,4569580,1.373000
37,23,2535376,3217620,0.967000
33,24,2940376,4906350,1.475000
48,30,3375377,5230780,1.581000
49,32,3840377,6407020,1.933000
36,27,4335376,6108860,1.836000
35,27,4860376,7271080,2.187000
34,25,5415376,8895610,2.675000
63,35,6000377,10005090,3.012000
53,26,6615377,10360470,3.120000
45,28,7260377,10247780,3.087000
53,34,7935377,11862330,3.580000
61,35,8640377,13038110,3.930000
51,28,9375377,14819670,4.461000
51,22,10140377,15600880,4.697000
79,34,10935379,24997440,7.537000
58,32,11760377,18298010,5.513000
53,31,12615377,18316780,5.515000
53,28,13500377,17884310,5.385000
62,33,14415378,22619120,6.825000
79,34,15360381,24411730,7.383000
59,31,16335378,25353870,7.637000
79,30,17340378,28720620,8.656000
61,34,18375378,26863180,8.095000
77,29,19440378,30884450,9.321000
91,36,20535381,42543300,12.842000
71,30,21660378,32324850,9.754000
76,32,22815379,33225010,10.028000
85,33,24000379,35741600,10.771000
86,34,25215380,40904750,12.354000
78,35,26460379,42966250,12.945000
89,35,27735379,40907190,12.340000
97,36,29040380,46082210,13.913000
90,35,30375380,49521540,14.953000
101,36,31740380,45510130,13.723000
91,33,33135380,49865300,15.028000
89,33,34560380,48045740,14.492000
94,36,36015380,55210530,16.655000
118,36,37500382,56467490,17.044000
101,41,39015381,62308560,18.795000
155,36,40560390,57118650,17.251000
92,37,42135381,66668170,20.112000
162,40,43740389,64723860,19.557000
113,38,45375382,71016520,21.409000
110,35,47040381,76005910,22.896000
94,38,48735381,69343770,20.890000
123,36,50460383,76362200,23.018000
124,33,52215383,72614760,21.898000
114,39,54000382,78095260,23.552000
121,36,55815383,83779380,25.242000
125,39,57660383,90998390,27.432000
134,39,59535383,94812540,28.578000
130,37,61440383,93923220,28.308000
133,36,63375383,94329670,28.416000
117,41,65340384,104944840,31.628000
119,35,67335383,99466470,29.979000
133,37,69360384,105777970,31.887000
142,39,71415384,102599980,30.925000
134,35,73500384,115614980,34.836000
198,38,75615393,124280390,37.486000
116,37,77760384,111077050,33.461000
162,38,79935387,114167540,34.439000
140,34,82140385,123584580,37.238000
142,38,84375387,139614770,42.059000
149,35,86640386,138638210,41.767000
159,39,88935386,131156700,39.521000
148,36,91260385,127849160,38.520000
156,42,93615389,150423420,45.321000
209,39,96000393,143223850,43.203000
146,36,98415386,142805560,43.006000
150,37,100860388,144985020,43.679000
144,39,103335390,152499600,45.950000
162,40,105840389,154895660,46.656000
180,36,108375389,172972420,52.106000
188,36,110940390,176397640,53.142000
215,47,113535396,177625220,53.565000
167,37,116160390,177235090,53.399000
166,40,118815389,177314620,53.419000
187,38,121500389,172313500,51.921000
181,39,124215394,192867590,58.121000
210,42,126960390,187809810,56.571000
182,44,129735391,198353920,59.756000
205,40,132540394,211325570,63.668000
188,39,135375391,206571550,62.212000
197,44,138240392,211550170,63.718000
255,42,141135399,215900150,65.080000
203,39,144060391,204889130,61.715000
181,40,147015397,225330470,67.896000
215,44,150000394,240133280,72.329000
199,43,153015394,245997520,74.106000
262,44,156060401,229061370,69.045000
185,41,159135394,241838520,72.844000
205,40,162240396,256848490,77.363000
254,45,165375397,249596110,75.201000
303,48,168540400,265616280,80.020000
212,43,171735397,263223690,79.276000
211,43,174960396,264678770,79.717000
247,41,178215396,269890400,81.290000
285,46,181500399,268055700,80.776000
236,38,184815397,281197670,84.699000
229,39,188160397,278030290,83.724000
281,42,191535407,287357330,86.596000
292,40,194940402,322334860,97.087000
266,42,198375400,301994170,90.977000
324,46,201840405,301655680,90.903000
250,46,205335400,306110640,92.213000
198,46,208860402,330071700,99.397000
323,49,212415408,313190180,94.365000
272,45,216000400,310479620,93.496000
272,43,219615403,342837200,103.256000
355,47,223260411,349662860,105.344000
287,42,226935404,361648890,108.919000
266,43,230640405,347930610,104.790000
363,46,234375411,335848500,101.187000
278,47,238140406,379572970,114.317000
278,47,241935406,388496820,116.989000
308,48,245760408,368034460,110.867000
310,46,249615406,389673900,117.362000
270,42,253500408,409275930,123.265000
278,44,257415408,405578320,122.163000
390,50,261360416,416181010,125.385000
340,45,265335407,388301640,116.956000
271,46,269340409,406902980,122.561000
407,49,273375417,414763120,124.941000
339,45,277440408,415447000,125.135000
286,44,281535412,431764260,130.028000
