PAPI_L1_DCM,PAPI_L1_ICM,PAPI_TOT_INS,PAPI_REF_CYC,time
345,47,285660412,449479820,135.351000
322,47,289815416,425427190,128.164000
347,45,294000411,431419390,129.919000
397,44,298215411,474088960,142.768000
350,45,302460413,451777350,136.075000
437,49,306735418,460881770,138.858000
372,51,311040411,455203850,137.107000
381,44,315375413,481134230,144.913000
302,46,319740413,483976450,145.745000
478,51,324135423,513132170,154.597000
303,47,328560415,483420180,145.580000
441,50,333015417,509600540,153.464000
379,51,337500416,502514080,151.332000
498,51,342015426,536929760,161.776000
399,53,346560426,518317770,156.149000
422,56,351135422,563639260,169.736000
470,49,355740419,555065000,167.161000
412,50,360375420,537368470,161.840000
462,55,365040425,548397280,165.202000
502,48,369735428,547575150,164.950000
439,53,374460420,561688740,169.152000
325,53,379215425,610428910,183.811000
374,51,384000428,587886130,177.063000
440,46,388815423,577854880,174.008000
438,52,393660429,589263270,177.491000
400,50,398535423,591224310,178.052000
496,58,403440428,611928380,184.320000
358,51,408375424,598564670,180.276000
423,53,413340424,626051730,188.509000
485,53,418335428,666251010,200.619000
459,61,423360432,682715490,205.617000
597,59,428415438,653690460,196.925000
549,67,433500441,678865230,204.575000
565,64,438615433,688984900,207.648000
928,91,443760458,639761490,192.948000
1096,103,448935464,652867810,197.516000
956,98,454140465,644776730,195.395000
1094,97,459375464,667843450,201.436000
630,58,464640439,692815820,208.666000
1053,100,469935474,735995990,222.026000
1070,101,475260470,704674180,212.490000
764,75,480615456,723349710,217.992000
730,73,486000465,687872170,207.766000
788,67,491415453,726019740,218.751000
493,55,496860440,743547990,223.951000
648,64,502335447,803058240,241.884000
466,59,507840438,741307370,223.257000
612,66,513375453,813283610,244.975000
669,71,518940445,749209630,225.703000
821,72,524535459,837984270,252.448000
605,61,530160450,842302930,253.690000
553,52,535815437,782781460,235.730000
1441,126,541500495,791580170,238.843000
902,87,547215472,813337060,245.151000
541,57,552960439,812822390,244.772000
722,69,558735457,840221220,253.074000
556,61,564540448,842864870,253.842000
540,62,570375445,839589620,252.823000
479,58,576240442,853693800,257.061000
817,71,582135457,899460880,270.905000
890,73,588060465,879210880,264.867000
745,70,594015458,876124640,263.900000
735,78,600000462,884353200,266.434000
891,82,606015466,887579900,267.580000
825,74,612060470,900252070,271.271000
671,63,618135457,973504930,293.221000
811,78,624240457,934335810,281.432000
786,76,630375459,917381360,276.358000
714,59,636540459,1019813060,307.130000
984,86,642735475,928334510,279.960000
921,76,648960468,921339030,277.770000
986,90,655215486,1028722680,310.083000
1017,67,661500468,1042504030,313.960000
874,63,667815455,997928320,300.493000
684,64,674160458,1078802010,324.864000
746,61,680535455,1022249800,307.850000
757,63,686940457,1035517490,311.849000
756,59,693375455,1022290940,307.850000
657,67,699840461,1030262320,310.280000
767,65,706335459,1058398860,318.708000
703,65,712860459,1048712000,315.801000
1299,112,719415501,1119582300,337.972000
661,63,726000472,1149214490,346.108000
931,78,732615484,1072932920,323.231000
915,72,739260470,1072640560,323.084000
816,67,745935468,1162266660,349.998000
728,64,752640464,1101870190,331.836000
1609,114,759375518,1080060020,326.826000
1278,99,766140516,1087404830,328.431000
1244,102,772935502,1121255400,338.976000
890,75,779760488,1153285200,347.364000
961,89,786615490,1194139550,359.655000
1100,90,793500494,1200678880,361.663000
1088,79,800415487,1259478630,379.353000
1023,102,807360495,1191554950,358.967000
1709,123,814335529,1183180640,356.970000
1889,159,821340554,1218596990,367.411000
1048,83,828375486,1304629070,392.955000
1176,91,835440490,1224832900,368.959000
1087,79,842535482,1320870790,397.827000
636,65,849660475,1229476060,370.235000
1228,96,856815510,1282118290,386.284000
1328,88,864000496,1356825690,408.722000
866,73,871215480,1283226070,386.437000
1028,75,878460484,1387974690,417.956000
895,74,885735482,1316798780,396.560000
1189,96,893040506,1318059430,397.279000
867,76,900375491,1429641540,430.505000
1029,89,907740509,1433214360,431.698000
1090,105,915135511,1304490040,393.103000
1322,108,922560516,1451489890,437.915000
969,80,930015503,1463864260,440.979000
903,77,937500493,1396705120,420.618000
1355,108,945015515,1434732340,432.183000
924,73,952560491,1457687380,438.936000
992,78,960135498,1473958460,443.866000
1149,75,967740503,1518422710,457.239000
798,76,975375500,1551110460,467.074000
920,81,983040497,1489026680,448.432000
759,75,990735496,1461580920,440.123000
1010,79,998460503,1507467810,453.973000
1257,102,1006215538,1497341240,451.106000
1225,78,1014000502,1514555540,456.119000
1195,78,1021815499,1515827560,456.525000
880,85,1029660502,1535485490,462.389000
1011,82,1037535507,1559762450,469.709000
788,78,1045440499,1535360900,462.308000
1139,75,1053375510,1561806330,470.344000
960,87,1061340519,1683563030,506.976000
1296,89,1069335514,1686514780,507.888000
