PAPI_L1_DCM,PAPI_L1_ICM,PAPI_TOT_INS,PAPI_REF_CYC,time
350,53,383570824,602508160,181.450000
470,59,383570823,588948130,177.374000
447,55,383570824,578205370,174.153000
490,49,383570829,623819970,187.859000
393,57,383570829,609000330,183.441000
369,56,383570821,584520690,176.021000
368,55,383570820,571565560,172.131000
456,57,383570827,571214910,172.059000
491,70,383570830,565066740,170.217000
479,63,383570828,570868890,171.961000
333,54,383570823,611454660,184.131000
515,53,383570828,613886640,184.885000
386,55,383570823,609373470,183.511000
460,54,383570826,582670170,175.501000
625,68,383570841,599313780,180.575000
381,55,383570825,582624190,175.457000
531,65,383570834,571107970,172.057000
395,55,383570822,595510820,179.339000
408,57,383570824,580207920,174.756000
529,56,383570828,586955930,176.781000
502,56,383570828,566678130,170.701000
610,65,383570830,584779020,176.157000
364,59,383570826,577970770,174.072000
412,56,383570825,572810540,172.555000
509,58,383570822,577512960,173.917000
544,64,383570838,621386120,187.209000
527,55,383570828,568343990,171.198000
392,51,383570826,579734700,174.588000
473,55,383570820,579861480,174.614000
388,56,383570820,566626400,170.626000
385,51,383570823,578723070,174.273000
431,55,383570831,615679220,185.427000
532,60,383570832,570251010,171.789000
448,57,383570827,605464890,182.372000
427,53,383570821,593186620,178.627000
434,54,383570821,562506320,169.394000
385,57,383570826,576538070,173.649000
657,71,383570841,575977980,173.565000
543,64,383570835,609635870,183.652000
1537,169,703212951,1930296690,581.332000
1694,168,703212936,1917971360,577.587000
1401,159,703212931,1917963820,577.536000
1499,165,703212935,1930667370,581.403000
1738,170,703212965,1926018790,580.122000
1621,165,703212943,1917973380,577.605000
1313,178,703212947,1930643940,581.432000
1683,155,703212943,1917974950,577.601000
1520,174,703212937,1917972770,577.565000
1421,179,703212935,1930646350,581.382000
1449,157,703212944,1917972280,577.618000
1333,165,703212945,1917973880,577.585000
1410,161,703212939,1930035830,581.207000
1491,167,703212940,1917974170,577.570000
1228,185,703212932,1917963720,577.582000
1217,170,703212932,1928833750,580.824000
1724,158,703212943,1917978420,577.634000
1680,182,703212934,1917971010,577.615000
1231,175,703212940,1930407920,581.321000
1333,174,703212947,1924651220,579.646000
1735,184,703212971,1917991250,578.172000
1843,194,703212956,1932620680,582.102000
1479,164,703212934,1917966880,577.563000
1536,159,703212933,1917970520,577.547000
1858,185,703212958,1930689020,581.532000
1355,144,703212932,1917963890,577.554000
1440,162,703212935,1917969250,577.580000
1406,209,703212954,1930656410,581.487000
1265,156,703212931,1917965700,577.534000
1424,173,703212941,1917969790,577.588000
1240,180,703212941,1927306750,580.393000
1355,162,703212931,1917966520,577.549000
1654,158,703212943,1917979880,577.623000
1235,164,703212945,1927321650,580.424000
1565,170,703212946,1917975620,577.611000
1559,172,703212937,1917969600,577.580000
1501,165,703212936,1927453520,580.450000
1597,160,703212931,1917969790,577.548000
1431,197,703212932,1917968820,577.562000
