PAPI_L1_DCM,PAPI_L1_ICM,PAPI_TOT_INS,PAPI_REF_CYC,time
401,59,383570831,616177960,185.633000
554,50,383570831,560376470,168.837000
427,47,383570821,564761000,170.112000
566,57,383570840,559360190,168.593000
523,61,383570834,551826020,166.300000
408,44,383570819,554907830,167.132000
635,54,383570834,588914470,177.434000
394,50,383570823,604474380,182.063000
486,49,383570824,565179610,170.257000
579,70,383570839,569067210,171.493000
551,55,383570834,609409830,183.603000
455,52,383570827,607076630,182.848000
570,71,383570839,612131770,184.427000
532,58,383570832,569533400,171.599000
431,60,383570828,556751960,167.733000
568,54,383570829,581947900,175.323000
411,48,383570826,550510800,165.898000
432,51,383570820,560877940,168.945000
380,51,383570820,560425120,168.790000
386,48,383570820,557265870,167.843000
299,46,383570821,552766510,166.507000
412,49,383570825,564836260,170.151000
401,43,383570820,563369530,169.661000
394,48,383570820,560752040,168.888000
502,52,383570831,579924350,174.723000
536,49,383570823,607592180,182.988000
326,45,383570820,557751320,168.008000
537,65,383570835,556700400,167.779000
436,50,383570822,607448930,182.939000
388,47,383570821,555284090,167.270000
334,52,383570821,579591910,174.567000
549,56,383570825,568591710,171.299000
387,49,383570826,599113960,180.474000
345,47,383570825,566546470,170.633000
326,46,383570821,580575270,174.828000
345,52,383570822,560257940,168.740000
328,48,383570821,559839830,168.608000
450,45,383570827,565004050,170.205000
572,50,383570829,562277260,169.427000
1631,116,703212958,1924653510,579.781000
1113,88,703212927,1917970150,577.634000
1640,101,703212948,1917988580,577.730000
1493,97,703212941,1926525890,580.292000
1220,94,703212934,1917974390,577.608000
1575,85,703212941,1917981910,577.630000
1159,85,703212928,1926551410,580.149000
1175,87,703212928,1917971050,577.588000
1480,98,703212938,1917982360,577.658000
1208,88,703212934,1925997130,580.070000
1356,88,703212942,1917984300,577.673000
1248,101,703212942,1923538750,579.354000
1789,100,703212949,1925216890,579.913000
1224,90,703212929,1917988270,577.669000
1408,96,703212949,1917989480,577.742000
1231,89,703212936,1930500020,581.394000
1536,112,703212960,1917993710,577.771000
1622,88,703212937,1917984250,577.668000
1083,85,703212930,1931267100,581.590000
1759,91,703212939,1917985450,577.672000
1053,85,703212930,1917967820,577.571000
1309,102,703212951,1928484660,580.868000
1640,89,703212942,1917984240,577.690000
1351,98,703212941,1918327300,577.832000
1413,93,703212948,1926471610,580.276000
1484,96,703212945,1917987440,577.669000
1493,122,703212962,1918052460,578.057000
1562,98,703212953,1927415980,580.536000
1119,83,703212929,1917969880,577.581000
1247,85,703212938,1917979470,577.638000
1510,95,703212946,1926946790,580.374000
1533,95,703212946,1917985470,577.670000
1231,87,703212926,1917970460,577.577000
1200,85,703212932,1924370820,579.515000
1066,88,703212926,1917970880,577.555000
1244,85,703212925,1918006430,577.708000
1698,95,703212941,1926551870,580.279000
1461,86,703212939,1917980380,577.662000
2145,160,703212982,1920120900,578.766000
