jacobi-2d,0,80456,56,145454,363,4171442,145817,851,13073,0,23169,73,8297725,1719743,-1515467,1661284,163,12967018,12795302,50891,51482,12916319,797676616,785173982,137329184,334999521,24916835,12638472,0,170602030,384777421,377101031,377181487,10017468,8297725,1719743,-56,-363,0,0,-145817,377181487,0,8297725,1719743,0,0,137329184,137329184,137329184,0,0,0,119.821000
jacobi-2d,1,9902957,975,2104257,451,9790198,2104708,1319,24868,0,151983,261,19935101,4805617,-2696714,4801422,230,38608142,38392901,104933,105526,38502472,2420013408,2400673981,418596885,1083885895,80794515,40807232,0,563701347,1266358885,1225143024,1235045981,24740718,19935101,4805617,1258212884,1605,1258213859,2056,24283441,2493259840,26388149,19937157,4805617,282720431,0,418596885,418596885,418596885,0,0,1234753630,368.530000
jacobi-2d,2,21565773,2140,4065070,334,21946198,4065404,2605,49106,0,345988,484,49471361,10924600,-6858465,10923869,330,88057829,87348227,180915,182977,87874992,5555319538,5506310602,963134470,2359839582,175039879,88258354,0,1216121700,2738565606,2670305850,2691871623,60395961,49471361,10924600,2725819018,3806,2725821158,4140,57289293,5417692781,61354697,49475501,10924600,615189149,0,963134470,963134470,963134470,0,0,2737026631,833.794000
jacobi-2d,3,42569638,3512,19283640,2116,42947404,19285756,2586,306757,0,657943,878,97815229,20865836,-1600497,20886253,433,167703366,166333018,278415,279937,167423614,10580115760,10487095961,1837313302,4504486897,332484281,167506187,0,2317552587,5239716330,5082757362,5125327000,118681065,97815229,20865836,5213043074,4090,5213046586,6206,97801697,10338373586,117087453,97821435,20865836,1170294032,0,1837313302,1837313302,1837313302,0,0,5235402142,1599.119000
jacobi-2d,4,72417013,3897,61837128,2354,72491908,61839482,3811,1000938,0,1115895,1384,166593910,35425045,26408541,35430941,701,284242619,283176789,396285,396448,283846156,17965305507,17794505826,3111432613,7622581087,565463248,284452933,0,4122902355,9011039660,8607422975,8679839988,202018955,166593910,35425045,8968195452,3927,8968199349,6281,139616882,17648039337,201456364,166600191,35425045,1984716942,0,3111432613,3111432613,3111432613,0,0,9005474753,2746.517000
jacobi-2d,5,127394499,6238,110497451,3901,126912320,110501352,7955,1748829,0,1760099,2235,289881502,55714798,54803819,55697533,1444,447860968,442857998,528813,535628,447321735,28237808190,27993571924,4898040796,12010242296,890351245,448138119,0,6492882319,14227179067,13547148728,13674543227,345596300,289881502,55714798,14152608911,10002,14152615149,13903,235601624,27827158376,346102976,289895405,55714798,3128800602,0,4898040796,4898040796,4898040796,0,0,14231780882,4335.180000
jacobi-2d,6,182849522,7663,165211646,5877,183263831,165217523,6339,2618221,0,2599068,3382,402187330,82450771,82758359,82459164,1692,661793007,658821490,694699,695058,661098085,41785005664,41426798271,7245875138,17755071750,1316450914,661832093,0,9612416872,21033039221,19981198189,20164047711,484638101,402187330,82450771,20972105105,10057,20972112768,15934,317922018,41136160479,483139541,402203264,82450771,4621815410,0,7245875138,7245875138,7245875138,0,0,21062091399,6415.801000
jacobi-2d,7,465142735,11593,233661150,8000,466757761,233669150,16259,3753265,0,3688480,4966,1146801403,116754088,116927723,116741427,4268,936361255,933775145,876786,877307,935484688,59102673411,58534252656,10234362542,25084298893,1863717851,937547739,0,14010412154,30148972756,28078897434,28544040169,1263555491,1146801403,116754088,29988522922,18111,29988534515,26111,1027537846,58532574684,1261206996,1146827514,116754088,6537135820,0,10234362542,10234362542,10234362542,0,0,30129812495,9180.627000
jacobi-2d,8,636126620,12572,318506154,11406,636551949,318517560,8680,5002140,0,5009077,5122,1606473053,158924065,159542324,158975236,3138,1275695024,1270960463,1075270,1081961,1274613619,80605205036,79887827547,13976595220,34257074841,2540547999,1277496477,0,19125240247,41139683857,38209982472,38846109092,1765397118,1606473053,158924065,40926038943,15595,40926051515,27001,1447069905,79772160607,1765587465,1606500054,158924065,8910411280,0,13976595220,13976595220,13976595220,0,0,41120447988,12511.390000
jacobi-2d,9,844632098,17967,422958570,13015,845205453,422971585,15876,6705835,0,6653514,7501,2085674382,211015438,211886446,211085139,4879,1691436082,1684755083,1298390,1300043,1690135594,107143684103,106215757098,18592955097,45529184796,3374120220,1696228648,0,25603521290,54744857098,50731938851,51576570949,2296689820,2085674382,211015438,54432369644,27618,54432387611,40633,1873525450,106008958560,2296497035,2085715015,211015438,11799340256,0,18592955097,18592955097,18592955097,0,0,54689223847,16646.191000
floyd-warshall,0,7792372,1198,337070,152,7850493,337222,1092,160,0,73382,320,20103800,95,-7340901,7678123,338,125620483,125422925,248329,246820,125372992,4933334744,4871997519,504850579,2256965521,251460165,126648585,0,1142510367,2484796179,2658350761,2666143133,20103895,20103800,95,2470828934,1354,2470830132,1506,20031431,5136973265,20368653,20105306,95,501400097,0,504850579,504850579,504850579,0,0,2479387759,757.125000
floyd-warshall,1,26992622,3602,9095388,639,27046421,9096027,4832,424,0,428238,1042,72932076,2882,-17370878,26466905,1304,432029812,431091936,570205,572685,431456670,16968908639,16764338455,1728820043,7746496234,859528357,431089864,0,3985583471,8580796458,9140260769,9167253391,72934958,72932076,2882,8533943323,5040,8533946925,5679,64339961,17701200316,73435988,72937755,2882,1738487018,0,1728820043,1728820043,1728820043,0,0,8581612407,2613.938000
floyd-warshall,2,64985271,8645,56429819,3036,65031570,56432855,10340,2636,0,1031219,3191,177239368,7322,-7485415,63918270,3926,1040617962,1041489753,1028822,1033596,1039584631,40924646760,40419562131,4163779011,18650339919,2077870194,1043780350,0,10027002637,21111507484,22052885028,22117870299,177246690,177239368,7322,20942314758,15564,20942323403,18600,118689227,43060193702,175122082,177257968,7322,4163392320,0,4163779011,4163779011,4163779011,0,0,21042112501,6410.229000
floyd-warshall,3,127341536,10609,108625127,4170,127352494,108629297,16532,2974,0,2013084,3954,363861591,6491,-17027880,125657177,4130,2034753133,2029414905,1602164,1605403,2033147826,79965115331,79076993265,8150412449,36551142769,4064197270,2038270390,0,19345003426,40948122188,43037026041,43164367577,363868082,363861591,6491,40654138267,17183,40654148876,21353,255507831,83818516453,364137128,363882944,6491,8160189490,1233,8150412449,8150412449,8150412449,0,0,40901012496,12420.817000
